,gap
soldier,0.011588139193398628
pilot,0.010669201612472534
farmer,0.009859762021473484
police officer,0.009673991373607083
mechanic,0.008329781038420553
bartender,0.007984904306275492
artist,0.0078097092253821
banker,0.007592128855841512
chef,0.007161272423607978
scientist,0.007135344403130683
model,0.006914524095399055
teacher,0.005805168833051405
designer,0.00553227961063385
journalist,0.005460479429789944
CEO,0.005436993071011115
lawyer,0.005226113966533108
software engineer,0.004770789827619304
receptionist,0.0045493585722787
professor,0.003931379743984775
surgeon,0.0038313759224755384
nurse,0.0032108362231935694
janitor,0.002833834716251926
driver,0.0026797567095075414
cashier,0.0013681117977414892
coach,0.00045633528913768817
